step 0: train loss 3.1927, val loss 3.1932
iter 345: loss 0.1811, time 19.19ms, mfu 0.07%
iter 346: loss 0.1879, time 19.03ms, mfu 0.07%
iter 347: loss 0.1773, time 18.78ms, mfu 0.07%
iter 348: loss 0.1963, time 20.77ms, mfu 0.07%
iter 349: loss 0.2134, time 18.21ms, mfu 0.07%
step 350: train loss 0.1910, val loss 0.1930
saving checkpoint to out/basic
iter 350: loss 0.1910, time 219.04ms, mfu 0.06%
iter 351: loss 0.1846, time 18.49ms, mfu 0.06%
iter 352: loss 0.1829, time 18.68ms, mfu 0.06%
iter 353: loss 0.1881, time 18.63ms, mfu 0.06%
iter 354: loss 0.1952, time 18.76ms, mfu 0.06%
iter 355: loss 0.1986, time 18.54ms, mfu 0.06%
iter 356: loss 0.1911, time 18.47ms, mfu 0.06%
iter 357: loss 0.1970, time 18.15ms, mfu 0.06%
iter 358: loss 0.1950, time 18.63ms, mfu 0.06%
iter 359: loss 0.1867, time 18.62ms, mfu 0.07%
iter 360: loss 0.1963, time 18.08ms, mfu 0.07%
iter 361: loss 0.1803, time 19.97ms, mfu 0.07%
iter 362: loss 0.1942, time 19.70ms, mfu 0.07%
iter 363: loss 0.1819, time 18.32ms, mfu 0.07%
iter 364: loss 0.1871, time 20.80ms, mfu 0.07%
iter 365: loss 0.1779, time 18.15ms, mfu 0.07%
iter 366: loss 0.2071, time 18.71ms, mfu 0.07%
iter 367: loss 0.1812, time 18.99ms, mfu 0.07%
iter 368: loss 0.1851, time 18.75ms, mfu 0.07%
iter 369: loss 0.1923, time 18.71ms, mfu 0.07%
iter 370: loss 0.1889, time 18.36ms, mfu 0.07%
iter 371: loss 0.1875, time 18.68ms, mfu 0.07%
iter 372: loss 0.1799, time 18.32ms, mfu 0.07%
iter 373: loss 0.1975, time 18.55ms, mfu 0.07%
iter 374: loss 0.1941, time 18.67ms, mfu 0.07%
iter 375: loss 0.1951, time 18.62ms, mfu 0.07%
iter 376: loss 0.1830, time 18.77ms, mfu 0.07%
iter 377: loss 0.1844, time 18.32ms, mfu 0.07%
iter 378: loss 0.1935, time 18.34ms, mfu 0.07%
iter 379: loss 0.1697, time 18.29ms, mfu 0.07%
iter 380: loss 0.1845, time 18.51ms, mfu 0.07%
iter 381: loss 0.1861, time 18.46ms, mfu 0.07%
iter 382: loss 0.1946, time 18.70ms, mfu 0.07%
iter 383: loss 0.1872, time 18.28ms, mfu 0.07%
iter 384: loss 0.1911, time 18.37ms, mfu 0.07%
iter 385: loss 0.1944, time 19.24ms, mfu 0.07%
iter 386: loss 0.1911, time 17.74ms, mfu 0.07%
iter 387: loss 0.1908, time 18.01ms, mfu 0.07%
iter 388: loss 0.1860, time 17.94ms, mfu 0.07%
iter 389: loss 0.1910, time 18.88ms, mfu 0.07%
iter 390: loss 0.1818, time 18.33ms, mfu 0.07%
iter 391: loss 0.1760, time 18.37ms, mfu 0.07%
iter 392: loss 0.2016, time 18.31ms, mfu 0.07%
iter 393: loss 0.1952, time 18.74ms, mfu 0.07%
iter 394: loss 0.1689, time 21.51ms, mfu 0.07%
iter 395: loss 0.1888, time 19.55ms, mfu 0.07%
iter 396: loss 0.1907, time 18.87ms, mfu 0.07%
iter 397: loss 0.1878, time 19.03ms, mfu 0.07%
iter 398: loss 0.1900, time 18.49ms, mfu 0.07%
iter 399: loss 0.1935, time 18.41ms, mfu 0.07%
step 400: train loss 0.1847, val loss 0.1864
saving checkpoint to out/basic
iter 400: loss 0.1924, time 216.17ms, mfu 0.06%
iter 401: loss 0.1912, time 18.23ms, mfu 0.06%
iter 402: loss 0.1773, time 18.42ms, mfu 0.06%
iter 403: loss 0.1908, time 18.82ms, mfu 0.06%
iter 404: loss 0.1932, time 18.37ms, mfu 0.06%
iter 405: loss 0.1796, time 18.53ms, mfu 0.06%
iter 406: loss 0.1911, time 18.74ms, mfu 0.06%
